date,hits,keyword,geo,time,gprop,category,searches,hits_score
2022-07-21T00:00:00Z,9,renzi,IT,2022-07-21 2022-09-25,web,0,9,9
2022-07-22T00:00:00Z,9,renzi,IT,2022-07-21 2022-09-25,web,0,9,9
2022-07-23T00:00:00Z,6,renzi,IT,2022-07-21 2022-09-25,web,0,6,6
2022-07-24T00:00:00Z,6,renzi,IT,2022-07-21 2022-09-25,web,0,6,6
2022-07-25T00:00:00Z,7,renzi,IT,2022-07-21 2022-09-25,web,0,7,7
2022-07-26T00:00:00Z,6,renzi,IT,2022-07-21 2022-09-25,web,0,6,6
2022-07-27T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-07-28T00:00:00Z,6,renzi,IT,2022-07-21 2022-09-25,web,0,6,6
2022-07-29T00:00:00Z,6,renzi,IT,2022-07-21 2022-09-25,web,0,6,6
2022-07-30T00:00:00Z,6,renzi,IT,2022-07-21 2022-09-25,web,0,6,6
2022-07-31T00:00:00Z,8,renzi,IT,2022-07-21 2022-09-25,web,0,8,8
2022-08-01T00:00:00Z,7,renzi,IT,2022-07-21 2022-09-25,web,0,7,7
2022-08-02T00:00:00Z,12,renzi,IT,2022-07-21 2022-09-25,web,0,12,12
2022-08-03T00:00:00Z,11,renzi,IT,2022-07-21 2022-09-25,web,0,11,11
2022-08-04T00:00:00Z,9,renzi,IT,2022-07-21 2022-09-25,web,0,9,9
2022-08-05T00:00:00Z,7,renzi,IT,2022-07-21 2022-09-25,web,0,7,7
2022-08-06T00:00:00Z,8,renzi,IT,2022-07-21 2022-09-25,web,0,8,8
2022-08-07T00:00:00Z,16,renzi,IT,2022-07-21 2022-09-25,web,0,16,16
2022-08-08T00:00:00Z,14,renzi,IT,2022-07-21 2022-09-25,web,0,14,14
2022-08-09T00:00:00Z,10,renzi,IT,2022-07-21 2022-09-25,web,0,10,10
2022-08-10T00:00:00Z,13,renzi,IT,2022-07-21 2022-09-25,web,0,13,13
2022-08-11T00:00:00Z,19,renzi,IT,2022-07-21 2022-09-25,web,0,19,19
2022-08-12T00:00:00Z,9,renzi,IT,2022-07-21 2022-09-25,web,0,9,9
2022-08-13T00:00:00Z,6,renzi,IT,2022-07-21 2022-09-25,web,0,6,6
2022-08-14T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-08-15T00:00:00Z,6,renzi,IT,2022-07-21 2022-09-25,web,0,6,6
2022-08-16T00:00:00Z,7,renzi,IT,2022-07-21 2022-09-25,web,0,7,7
2022-08-17T00:00:00Z,7,renzi,IT,2022-07-21 2022-09-25,web,0,7,7
2022-08-18T00:00:00Z,7,renzi,IT,2022-07-21 2022-09-25,web,0,7,7
2022-08-19T00:00:00Z,6,renzi,IT,2022-07-21 2022-09-25,web,0,6,6
2022-08-20T00:00:00Z,4,renzi,IT,2022-07-21 2022-09-25,web,0,4,4
2022-08-21T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-08-22T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-08-23T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-08-24T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-08-25T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-08-26T00:00:00Z,3,renzi,IT,2022-07-21 2022-09-25,web,0,3,3
2022-08-27T00:00:00Z,4,renzi,IT,2022-07-21 2022-09-25,web,0,4,4
2022-08-28T00:00:00Z,4,renzi,IT,2022-07-21 2022-09-25,web,0,4,4
2022-08-29T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-08-30T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-08-31T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-09-01T00:00:00Z,4,renzi,IT,2022-07-21 2022-09-25,web,0,4,4
2022-09-02T00:00:00Z,7,renzi,IT,2022-07-21 2022-09-25,web,0,7,7
2022-09-03T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-09-04T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-09-05T00:00:00Z,6,renzi,IT,2022-07-21 2022-09-25,web,0,6,6
2022-09-06T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-09-07T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-09-08T00:00:00Z,7,renzi,IT,2022-07-21 2022-09-25,web,0,7,7
2022-09-09T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-09-10T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-09-11T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-09-12T00:00:00Z,6,renzi,IT,2022-07-21 2022-09-25,web,0,6,6
2022-09-13T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-09-14T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-09-15T00:00:00Z,5,renzi,IT,2022-07-21 2022-09-25,web,0,5,5
2022-09-16T00:00:00Z,6,renzi,IT,2022-07-21 2022-09-25,web,0,6,6
2022-09-17T00:00:00Z,9,renzi,IT,2022-07-21 2022-09-25,web,0,9,9
2022-09-18T00:00:00Z,10,renzi,IT,2022-07-21 2022-09-25,web,0,10,10
2022-09-19T00:00:00Z,7,renzi,IT,2022-07-21 2022-09-25,web,0,7,7
2022-09-20T00:00:00Z,7,renzi,IT,2022-07-21 2022-09-25,web,0,7,7
2022-09-21T00:00:00Z,7,renzi,IT,2022-07-21 2022-09-25,web,0,7,7
2022-09-22T00:00:00Z,8,renzi,IT,2022-07-21 2022-09-25,web,0,8,8
2022-09-23T00:00:00Z,10,renzi,IT,2022-07-21 2022-09-25,web,0,10,10
2022-09-24T00:00:00Z,13,renzi,IT,2022-07-21 2022-09-25,web,0,13,13
2022-09-25T00:00:00Z,26,renzi,IT,2022-07-21 2022-09-25,web,0,26,26
2022-07-21T00:00:00Z,5,calenda,IT,2022-07-21 2022-09-25,web,0,5,5
2022-07-22T00:00:00Z,9,calenda,IT,2022-07-21 2022-09-25,web,0,9,9
2022-07-23T00:00:00Z,4,calenda,IT,2022-07-21 2022-09-25,web,0,4,4
2022-07-24T00:00:00Z,6,calenda,IT,2022-07-21 2022-09-25,web,0,6,6
2022-07-25T00:00:00Z,12,calenda,IT,2022-07-21 2022-09-25,web,0,12,12
2022-07-26T00:00:00Z,15,calenda,IT,2022-07-21 2022-09-25,web,0,15,15
2022-07-27T00:00:00Z,7,calenda,IT,2022-07-21 2022-09-25,web,0,7,7
2022-07-28T00:00:00Z,6,calenda,IT,2022-07-21 2022-09-25,web,0,6,6
2022-07-29T00:00:00Z,14,calenda,IT,2022-07-21 2022-09-25,web,0,14,14
2022-07-30T00:00:00Z,12,calenda,IT,2022-07-21 2022-09-25,web,0,12,12
2022-07-31T00:00:00Z,9,calenda,IT,2022-07-21 2022-09-25,web,0,9,9
2022-08-01T00:00:00Z,16,calenda,IT,2022-07-21 2022-09-25,web,0,16,16
2022-08-02T00:00:00Z,33,calenda,IT,2022-07-21 2022-09-25,web,0,33,33
2022-08-03T00:00:00Z,20,calenda,IT,2022-07-21 2022-09-25,web,0,20,20
2022-08-04T00:00:00Z,10,calenda,IT,2022-07-21 2022-09-25,web,0,10,10
2022-08-05T00:00:00Z,13,calenda,IT,2022-07-21 2022-09-25,web,0,13,13
2022-08-06T00:00:00Z,16,calenda,IT,2022-07-21 2022-09-25,web,0,16,16
2022-08-07T00:00:00Z,73,calenda,IT,2022-07-21 2022-09-25,web,0,73,73
2022-08-08T00:00:00Z,41,calenda,IT,2022-07-21 2022-09-25,web,0,41,41
2022-08-09T00:00:00Z,26,calenda,IT,2022-07-21 2022-09-25,web,0,26,26
2022-08-10T00:00:00Z,20,calenda,IT,2022-07-21 2022-09-25,web,0,20,20
2022-08-11T00:00:00Z,25,calenda,IT,2022-07-21 2022-09-25,web,0,25,25
2022-08-12T00:00:00Z,15,calenda,IT,2022-07-21 2022-09-25,web,0,15,15
2022-08-13T00:00:00Z,7,calenda,IT,2022-07-21 2022-09-25,web,0,7,7
2022-08-14T00:00:00Z,6,calenda,IT,2022-07-21 2022-09-25,web,0,6,6
2022-08-15T00:00:00Z,6,calenda,IT,2022-07-21 2022-09-25,web,0,6,6
2022-08-16T00:00:00Z,6,calenda,IT,2022-07-21 2022-09-25,web,0,6,6
2022-08-17T00:00:00Z,6,calenda,IT,2022-07-21 2022-09-25,web,0,6,6
2022-08-18T00:00:00Z,10,calenda,IT,2022-07-21 2022-09-25,web,0,10,10
2022-08-19T00:00:00Z,7,calenda,IT,2022-07-21 2022-09-25,web,0,7,7
2022-08-20T00:00:00Z,6,calenda,IT,2022-07-21 2022-09-25,web,0,6,6
2022-08-21T00:00:00Z,6,calenda,IT,2022-07-21 2022-09-25,web,0,6,6
2022-08-22T00:00:00Z,7,calenda,IT,2022-07-21 2022-09-25,web,0,7,7
2022-08-23T00:00:00Z,8,calenda,IT,2022-07-21 2022-09-25,web,0,8,8
2022-08-24T00:00:00Z,8,calenda,IT,2022-07-21 2022-09-25,web,0,8,8
2022-08-25T00:00:00Z,10,calenda,IT,2022-07-21 2022-09-25,web,0,10,10
2022-08-26T00:00:00Z,8,calenda,IT,2022-07-21 2022-09-25,web,0,8,8
2022-08-27T00:00:00Z,6,calenda,IT,2022-07-21 2022-09-25,web,0,6,6
2022-08-28T00:00:00Z,6,calenda,IT,2022-07-21 2022-09-25,web,0,6,6
2022-08-29T00:00:00Z,8,calenda,IT,2022-07-21 2022-09-25,web,0,8,8
2022-08-30T00:00:00Z,6,calenda,IT,2022-07-21 2022-09-25,web,0,6,6
2022-08-31T00:00:00Z,9,calenda,IT,2022-07-21 2022-09-25,web,0,9,9
2022-09-01T00:00:00Z,6,calenda,IT,2022-07-21 2022-09-25,web,0,6,6
2022-09-02T00:00:00Z,8,calenda,IT,2022-07-21 2022-09-25,web,0,8,8
2022-09-03T00:00:00Z,7,calenda,IT,2022-07-21 2022-09-25,web,0,7,7
2022-09-04T00:00:00Z,8,calenda,IT,2022-07-21 2022-09-25,web,0,8,8
2022-09-05T00:00:00Z,11,calenda,IT,2022-07-21 2022-09-25,web,0,11,11
2022-09-06T00:00:00Z,9,calenda,IT,2022-07-21 2022-09-25,web,0,9,9
2022-09-07T00:00:00Z,9,calenda,IT,2022-07-21 2022-09-25,web,0,9,9
2022-09-08T00:00:00Z,8,calenda,IT,2022-07-21 2022-09-25,web,0,8,8
2022-09-09T00:00:00Z,7,calenda,IT,2022-07-21 2022-09-25,web,0,7,7
2022-09-10T00:00:00Z,7,calenda,IT,2022-07-21 2022-09-25,web,0,7,7
2022-09-11T00:00:00Z,7,calenda,IT,2022-07-21 2022-09-25,web,0,7,7
2022-09-12T00:00:00Z,9,calenda,IT,2022-07-21 2022-09-25,web,0,9,9
2022-09-13T00:00:00Z,8,calenda,IT,2022-07-21 2022-09-25,web,0,8,8
2022-09-14T00:00:00Z,7,calenda,IT,2022-07-21 2022-09-25,web,0,7,7
2022-09-15T00:00:00Z,7,calenda,IT,2022-07-21 2022-09-25,web,0,7,7
2022-09-16T00:00:00Z,8,calenda,IT,2022-07-21 2022-09-25,web,0,8,8
2022-09-17T00:00:00Z,10,calenda,IT,2022-07-21 2022-09-25,web,0,10,10
2022-09-18T00:00:00Z,12,calenda,IT,2022-07-21 2022-09-25,web,0,12,12
2022-09-19T00:00:00Z,14,calenda,IT,2022-07-21 2022-09-25,web,0,14,14
2022-09-20T00:00:00Z,16,calenda,IT,2022-07-21 2022-09-25,web,0,16,16
2022-09-21T00:00:00Z,15,calenda,IT,2022-07-21 2022-09-25,web,0,15,15
2022-09-22T00:00:00Z,18,calenda,IT,2022-07-21 2022-09-25,web,0,18,18
2022-09-23T00:00:00Z,28,calenda,IT,2022-07-21 2022-09-25,web,0,28,28
2022-09-24T00:00:00Z,38,calenda,IT,2022-07-21 2022-09-25,web,0,38,38
2022-09-25T00:00:00Z,100,calenda,IT,2022-07-21 2022-09-25,web,0,100,100
2022-07-21T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-22T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-23T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-24T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-25T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-07-26T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-27T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-28T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-07-29T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-30T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-31T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-01T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-02T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-03T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-04T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-05T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-06T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-07T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-08T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-09T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-10T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-11T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-12T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-13T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-14T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-15T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-16T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-17T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-18T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-19T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-20T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-21T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-22T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-23T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-24T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-25T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-26T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-27T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-28T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-29T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-30T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-31T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-09-01T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-09-02T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-03T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-09-04T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-09-05T00:00:00Z,0,azione italia viva,IT,2022-07-21 2022-09-25,web,0,0,0
2022-09-06T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-09-07T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-09-08T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-09-09T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-09-10T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-11T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-09-12T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-09-13T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-09-14T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-15T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-09-16T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-09-17T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-09-18T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-09-19T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-20T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-21T00:00:00Z,< 1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,,0
2022-09-22T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-23T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-24T00:00:00Z,1,azione italia viva,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-25T00:00:00Z,5,azione italia viva,IT,2022-07-21 2022-09-25,web,0,5,5
2022-07-21T00:00:00Z,0,terzo polo,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-22T00:00:00Z,< 1,terzo polo,IT,2022-07-21 2022-09-25,web,0,,0
2022-07-23T00:00:00Z,0,terzo polo,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-24T00:00:00Z,< 1,terzo polo,IT,2022-07-21 2022-09-25,web,0,,0
2022-07-25T00:00:00Z,0,terzo polo,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-26T00:00:00Z,0,terzo polo,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-27T00:00:00Z,0,terzo polo,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-28T00:00:00Z,0,terzo polo,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-29T00:00:00Z,0,terzo polo,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-30T00:00:00Z,0,terzo polo,IT,2022-07-21 2022-09-25,web,0,0,0
2022-07-31T00:00:00Z,< 1,terzo polo,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-01T00:00:00Z,< 1,terzo polo,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-02T00:00:00Z,0,terzo polo,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-03T00:00:00Z,< 1,terzo polo,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-04T00:00:00Z,0,terzo polo,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-05T00:00:00Z,< 1,terzo polo,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-06T00:00:00Z,0,terzo polo,IT,2022-07-21 2022-09-25,web,0,0,0
2022-08-07T00:00:00Z,< 1,terzo polo,IT,2022-07-21 2022-09-25,web,0,,0
2022-08-08T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-09T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-10T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-11T00:00:00Z,2,terzo polo,IT,2022-07-21 2022-09-25,web,0,2,2
2022-08-12T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-13T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-14T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-15T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-16T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-17T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-18T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-19T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-20T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-21T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-22T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-23T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-24T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-25T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-26T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-27T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-28T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-29T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-30T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-08-31T00:00:00Z,0,terzo polo,IT,2022-07-21 2022-09-25,web,0,0,0
2022-09-01T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-02T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-03T00:00:00Z,2,terzo polo,IT,2022-07-21 2022-09-25,web,0,2,2
2022-09-04T00:00:00Z,2,terzo polo,IT,2022-07-21 2022-09-25,web,0,2,2
2022-09-05T00:00:00Z,2,terzo polo,IT,2022-07-21 2022-09-25,web,0,2,2
2022-09-06T00:00:00Z,2,terzo polo,IT,2022-07-21 2022-09-25,web,0,2,2
2022-09-07T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-08T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-09T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-10T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-11T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-12T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-13T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-14T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-15T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-16T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-17T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-18T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-19T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-20T00:00:00Z,1,terzo polo,IT,2022-07-21 2022-09-25,web,0,1,1
2022-09-21T00:00:00Z,2,terzo polo,IT,2022-07-21 2022-09-25,web,0,2,2
2022-09-22T00:00:00Z,3,terzo polo,IT,2022-07-21 2022-09-25,web,0,3,3
2022-09-23T00:00:00Z,3,terzo polo,IT,2022-07-21 2022-09-25,web,0,3,3
2022-09-24T00:00:00Z,7,terzo polo,IT,2022-07-21 2022-09-25,web,0,7,7
2022-09-25T00:00:00Z,13,terzo polo,IT,2022-07-21 2022-09-25,web,0,13,13
